module,role,case_id,use_case,guided_command
internships,employer,EI-01,"View all internship postings for the company (draft, published, closed)",npm run test:guided:focus -- EI-01
internships,employer,EI-02,"Open the create-internship form and enter title, duration, stipend range, vacancies, min CGPA, skills/keywords, and notes",npm run test:guided:focus -- EI-02
internships,employer,EI-03,Publish a new internship to one or more approved partner campuses,npm run test:guided:focus -- EI-03
internships,employer,EI-04,Attempt to publish without selecting any campus and confirm validation blocks save,npm run test:guided:focus -- EI-04
internships,employer,EI-05,Attempt to publish when no campus partnership is approved,npm run test:guided:focus -- EI-05
internships,employer,EI-06,Save a draft internship without publishing (students must not see it),npm run test:guided:focus -- EI-06
internships,employer,EI-07,Sync campus visibility on an existing internship (add or remove colleges),npm run test:guided:focus -- EI-07
internships,employer,EI-08,Confirm published internship shows correct metadata on the employer list,npm run test:guided:focus -- EI-08
internships,employer,EI-09,Open Applications → Internships tab and see program applicants only,npm run test:guided:focus -- EI-09
internships,employer,EI-10,Filter internship applicants by status,npm run test:guided:focus -- EI-10
internships,employer,EI-11,"Search internship applicants by name, system ID, roll, email, college, branch, or opening",npm run test:guided:focus -- EI-11
internships,employer,EI-12,"Sort internship applicants by date, CGPA, or name",npm run test:guided:focus -- EI-12
internships,employer,EI-13,Open full student profile from an internship application,npm run test:guided:focus -- EI-13
internships,employer,EI-14,Open student CV when resume exists; confirm no CV action when missing,npm run test:guided:focus -- EI-14
internships,employer,EI-15,Shortlist an applicant in Applied or On hold status,npm run test:guided:focus -- EI-15
internships,employer,EI-16,"Mark applicant In progress, Selected, Rejected, or On hold",npm run test:guided:focus -- EI-16
internships,employer,EI-17,Confirm status updates appear in the list and in exported data,npm run test:guided:focus -- EI-17
internships,employer,EI-18,Export filtered internship applicants to CSV (Applications → Internships → Export → current list),npm run test:guided:focus -- EI-18
internships,employer,EI-19,Export all internship applicants to CSV (Export → full list),npm run test:guided:focus -- EI-19
internships,employer,EI-20,"Verify applicant export CSV columns (student, system ID, roll, email, college, branch, CGPA, opening, type, status, applied date, source = Program)",npm run test:guided:focus -- EI-20
internships,employer,EI-21,Export CSV on Assessment uploads (CSV) — Internship tab (all applications; same format for re-upload),npm run test:guided:focus -- EI-21
internships,employer,EI-22,CSV upload or Assessment Update Online — Internship tab (round labels from Assessment map),npm run test:guided:focus -- EI-22
internships,employer,EI-23,"Offers bulk CSV via Offers page (route /offers-upload — no sidebar menu link)",npm run test:guided:focus -- EI-23
internships,student,SI-01,View published internships visible to the student’s college,npm run test:guided:focus -- SI-01
internships,student,SI-02,Search and filter the internship list,npm run test:guided:focus -- SI-02
internships,student,SI-03,"Open internship detail (description, stipend, CGPA, vacancies, company)",npm run test:guided:focus -- SI-03
internships,student,SI-04,Apply to a published internship when a valid primary resume/CV exists,npm run test:guided:focus -- SI-04
internships,student,SI-05,"Confirm apply blocked without resume, when placement-locked, archived, or below min CGPA",npm run test:guided:focus -- SI-05
internships,student,SI-06,Confirm apply blocked when posting is unpublished or not visible to the campus,npm run test:guided:focus -- SI-06
internships,student,SI-07,Confirm re-apply on same internship updates existing row (no duplicate applications),npm run test:guided:focus -- SI-07
internships,student,SI-08,View internship applications under My Applications → Internships,npm run test:guided:focus -- SI-08
internships,student,SI-09,"See status updates when employer shortlists, selects, or rejects",npm run test:guided:focus -- SI-09
internships,student,SI-10,Withdraw an internship application and re-apply while posting remains published,npm run test:guided:focus -- SI-10
internships,student,SI-11,Export filtered internship applications to CSV (My Applications → Internships → Export → current tab/filter),npm run test:guided:focus -- SI-11
internships,student,SI-12,Export all internship applications to CSV (Export → full list for that type),npm run test:guided:focus -- SI-12
internships,student,SI-13,"Verify student application export CSV includes company, role/title, status, applied date, and related fields",npm run test:guided:focus -- SI-13
internships,student,SI-14,Confirm student cannot upload a CSV to apply to internships (apply is UI-only per posting),npm run test:guided:focus -- SI-14
internships,student,SI-15,"New student (including college CSV import) completes profile + resume, then applies successfully",npm run test:guided:focus -- SI-15
internships,college,CI-01,View published internships from employers approved for this campus,npm run test:guided:focus -- CI-01
internships,college,CI-02,Confirm non-approved employers’ internships do not appear,npm run test:guided:focus -- CI-02
internships,college,CI-03,"Add a single student manually (roll, email) as alternative to CSV",npm run test:guided:focus -- CI-03
internships,college,CI-04,Download student bulk-import CSV template (Students → Template),npm run test:guided:focus -- CI-04
internships,college,CI-05,Bulk-import students via CSV and confirm accounts created with welcome credentials,npm run test:guided:focus -- CI-05
